# Omega OM-92b Logger 
Time Zone UTC + -4 hours

# Configuration :
DeviceID,15585
LoggingStart,Button Press
LoggingStartTime,05.30 10:40:00
LoggingInterval,10 mins
TemperatureLoggingEnable,true
TemperatureAlarmThresholdHigh,NA
TemperatureAlarmThresholdLow,NA
HumidityLoggingEnable,true
HumidityAlarmThresholdHigh,NA
HumidityAlarmThresholdLow,NA
Celcius/Fahrenheit,Celcius

,,# Sample Info :,,,,#Plot 
,,Data No,Date,Time,,Date/Time,Temperature,Humidity,DewPoint
,,1,2021-04-15,11:30:00,,2021-04-15 11:30:00,21.817,47.1351,10.0469
,,2,2021-04-15,11:40:00,,2021-04-15 11:40:00,21.9612,46.0395,9.827
,,3,2021-04-15,11:50:00,,2021-04-15 11:50:00,21.9451,45.9754,9.79162
,,4,2021-04-15,12:00:00,,2021-04-15 12:00:00,21.8757,45.9907,9.73336
,,5,2021-04-15,12:10:00,,2021-04-15 12:10:00,21.8597,45.7465,9.63941
,,6,2021-04-15,12:20:00,,2021-04-15 12:20:00,21.8276,45.89,9.65692
,,7,2021-04-15,12:30:00,,2021-04-15 12:30:00,21.8597,45.9022,9.69005
,,8,2021-04-15,12:40:00,,2021-04-15 12:40:00,21.8009,45.8289,9.61278
,,9,2021-04-15,12:50:00,,2021-04-15 12:50:00,21.817,45.4261,9.49584
,,10,2021-04-15,13:00:00,,2021-04-15 13:00:00,21.8009,45.5421,9.51924
,,11,2021-04-15,13:10:00,,2021-04-15 13:10:00,21.7582,45.5848,9.49434
,,12,2021-04-15,13:20:00,,2021-04-15 13:20:00,21.7475,45.3407,9.40471
,,13,2021-04-15,13:30:00,,2021-04-15 13:30:00,21.8276,45.3285,9.47351
,,14,2021-04-15,13:40:00,,2021-04-15 13:40:00,21.7742,45.1972,9.38184
,,15,2021-04-15,13:50:00,,2021-04-15 13:50:00,21.7582,45.1911,9.36528
,,16,2021-04-15,14:00:00,,2021-04-15 14:00:00,21.7475,44.9958,9.29117
,,17,2021-04-15,14:10:00,,2021-04-15 14:10:00,21.7742,45.0416,9.33054
