,species,pendant_ID,temp,calendar_date,julian_date,pot_ID,census,table_ID,lightbulb_strength,number_planted,establishment,soil_moisture_3week,germination,soil_moisture_6week,mass,se,sd,mean_temp,max_temp,locality
7,Bromus rubens,15566,High,06/09/2021,249,30,Greenhouse Temperature Experiment,3,100,40,0,17,0,7,0,0.006772501,3.639984489,30.75365339,33.5206,invasive
9,Bromus rubens,15566,High,06/09/2021,249,32,Greenhouse Temperature Experiment,3,100,40,0,17,0,9,0,0.006772501,3.639984489,30.75365339,33.5206,invasive
10,Bromus rubens,15566,High,06/09/2021,249,33,Greenhouse Temperature Experiment,3,100,40,0,14,0,9,0,0.006772501,3.639984489,30.75365339,33.5206,invasive
12,Bromus rubens,15566,High,06/09/2021,249,35,Greenhouse Temperature Experiment,3,100,40,0,10,0,8,0,0.006772501,3.639984489,30.75365339,33.5206,invasive
14,Bromus rubens,15566,High,06/09/2021,249,37,Greenhouse Temperature Experiment,3,100,40,0,13,0,6,0,0.006772501,3.639984489,30.75365339,33.5206,invasive
15,Bromus rubens,15566,High,06/09/2021,249,38,Greenhouse Temperature Experiment,3,100,40,0,13,0,8,0,0.006772501,3.639984489,30.75365339,33.5206,invasive
16,Bromus rubens,15566,High,06/09/2021,249,39,Greenhouse Temperature Experiment,3,100,40,0,20,0,6,0,0.006772501,3.639984489,30.75365339,33.5206,invasive
17,Bromus rubens,15566,High,06/09/2021,249,40,Greenhouse Temperature Experiment,3,100,40,0,24,0,7,0,0.006772501,3.639984489,30.75365339,33.5206,invasive
20,Bromus rubens,15566,High,06/09/2021,249,43,Greenhouse Temperature Experiment,3,100,40,0,16,0,9,0,0.006772501,3.639984489,30.75365339,33.5206,invasive
21,Bromus rubens,15566,High,06/09/2021,249,44,Greenhouse Temperature Experiment,3,100,40,0,13,0,6,0,0.006772501,3.639984489,30.75365339,33.5206,invasive
22,Bromus rubens,15566,High,06/09/2021,249,45,Greenhouse Temperature Experiment,3,100,40,0,11,0,9,0,0.006772501,3.639984489,30.75365339,33.5206,invasive
